"question","week","response","gender","percent"
5,2,"Somewhat worried","Female",0.3
5,2,"Not too worried","Male",0.39
5,2,"Not too worried","Female",0.39
5,2,"Not worried at all","Male",0.25
5,2,"Not worried at all","Female",0.19
5,3,"Very worried","Male",0.08
5,3,"Very worried","Female",0.12
5,3,"Somewhat worried","Male",0.26
5,3,"Somewhat worried","Female",0.31
5,3,"Not too worried","Male",0.43
5,3,"Not too worried","Female",0.41
5,3,"Not worried at all","Male",0.23
5,3,"Not worried at all","Female",0.16
5,4,"Very worried","Male",0.07
5,4,"Very worried","Female",0.13
5,4,"Somewhat worried","Male",0.28
5,4,"Somewhat worried","Female",0.32
5,4,"Not too worried","Male",0.4
5,4,"Not too worried","Female",0.4
5,4,"Not worried at all","Male",0.25
5,4,"Not worried at all","Female",0.16
5,5,"Very worried","Male",0.11
5,5,"Very worried","Female",0.16
5,5,"Somewhat worried","Male",0.31
5,5,"Somewhat worried","Female",0.35
5,5,"Not too worried","Male",0.35
5,5,"Not too worried","Female",0.35
5,5,"Not worried at all","Male",0.23
5,5,"Not worried at all","Female",0.14
5,6,"Very worried","Male",0.12
5,6,"Very worried","Female",0.16
5,6,"Somewhat worried","Male",0.34
5,6,"Somewhat worried","Female",0.37
5,6,"Not too worried","Male",0.36
5,6,"Not too worried","Female",0.33
5,6,"Not worried at all","Male",0.19
5,6,"Not worried at all","Female",0.14
5,7,"Very worried","Male",0.16
5,7,"Very worried","Female",0.14
5,7,"Somewhat worried","Male",0.42
5,7,"Somewhat worried","Female",0.41
5,7,"Not too worried","Male",0.31
5,7,"Not too worried","Female",0.36
5,7,"Not worried at all","Male",0.11
5,7,"Not worried at all","Female",0.1
